
time;gfx;gFy;gFz;Bx;By;Bz;
2,4550;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,4650;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,4690;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,4830;0,0059;-0,0958;0,9890;13,0000;0,0000;35,2500;
2,4880;0,0039;-0,1055;0,9890;13,0000;0,0000;35,2500;
2,4890;0,0039;-0,1055;0,9890;13,0000;0,0000;35,2500;
2,5000;0,0039;-0,1055;0,9890;13,0000;0,0000;35,2500;
2,5120;0,0039;-0,1055;0,9890;14,2500;-0,7500;35,7500;
2,5150;0,0039;-0,1055;0,9890;14,2500;-0,7500;35,7500;
2,5270;0,0039;-0,1055;0,9890;14,2500;-0,7500;35,7500;
2,5470;0,0039;-0,1055;0,9890;14,2500;-0,7500;35,7500;
2,5690;0,0039;-0,1055;0,9890;14,2500;-0,7500;35,7500;
2,5850;0,0039;-0,1055;0,9890;14,2500;-0,7500;35,7500;
2,5930;0,0039;-0,1055;0,9890;14,2500;-0,7500;35,7500;
2,6070;0,0039;-0,1055;0,9890;14,2500;-0,7500;35,7500;
2,6270;0,0039;-0,1055;0,9890;14,2500;-0,7500;35,7500;
2,6450;0,0039;-0,1055;0,9890;14,2500;-0,7500;35,7500;
2,6680;0,0039;-0,1055;0,9890;14,2500;-0,7500;35,7500;
2,6840;0,0039;-0,1055;0,9890;14,2500;-0,7500;35,7500;
2,6900;0,0098;-0,1055;0,9870;14,2500;-0,7500;35,7500;
2,6910;0,0098;-0,1055;0,9870;14,2500;-0,7500;35,7500;
2,6930;0,0098;-0,1055;0,9870;14,2500;-0,7500;35,7500;
2,7060;0,0098;-0,1055;0,9870;14,2500;-0,7500;35,7500;
2,7150;0,0098;-0,1055;0,9870;13,5000;-0,7500;35,7500;
2,7160;0,0098;-0,1055;0,9870;13,5000;-0,7500;35,7500;
2,7330;0,0098;-0,1055;0,9870;13,5000;-0,7500;35,7500;
2,7450;0,0098;-0,1055;0,9870;13,5000;-0,7500;35,7500;
2,7770;0,0098;-0,1055;0,9870;13,5000;-0,7500;35,7500;
2,7890;0,0098;-0,1055;0,9870;13,5000;-0,7500;35,7500;
2,8050;0,0098;-0,1055;0,9870;13,5000;-0,7500;35,7500;
2,8210;0,0098;-0,1055;0,9870;13,5000;-0,7500;35,7500;
2,8350;0,0098;-0,1055;0,9870;13,5000;-0,7500;35,7500;
2,8470;0,0098;-0,1055;0,9870;13,5000;-0,7500;35,7500;
2,8700;0,0098;-0,1055;0,9870;13,5000;-0,7500;35,7500;
2,8840;0,0098;-0,1055;0,9870;13,5000;-0,7500;35,7500;
2,8900;0,0117;-0,0938;0,9850;13,5000;-0,7500;35,7500;
2,8910;0,0117;-0,0938;0,9850;13,5000;-0,7500;35,7500;
2,8920;0,0117;-0,0938;0,9850;13,5000;-0,7500;35,7500;
2,9040;0,0117;-0,0938;0,9850;13,5000;-0,7500;35,7500;
2,9140;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
2,9160;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
2,9270;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
2,9410;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
2,9520;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
2,9660;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
2,9730;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
2,9860;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
2,9970;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
3,0100;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
3,0280;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
3,0450;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
3,0530;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
3,0650;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
3,0750;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
3,0870;0,0117;-0,0938;0,9850;13,2500;-1,0000;35,7500;
3,0970;0,0098;-0,1036;0,9909;13,2500;-1,0000;35,7500;
3,0980;0,0098;-0,1036;0,9909;13,2500;-1,0000;35,7500;
3,1100;0,0098;-0,1036;0,9909;13,2500;-1,0000;35,7500;
3,1140;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,1270;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,1460;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,1690;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,1850;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,1970;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,2110;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,2240;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,2320;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,2440;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,2540;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,2660;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,2870;0,0098;-0,1036;0,9909;14,2500;-0,5000;35,7500;
3,3000;0,0117;-0,0938;0,9850;14,2500;-0,5000;35,7500;
