time;x;y;z;MF
20,087;-43,75;-4,75;-65,75;79,12
20,136;-43,50;-5,75;-66,25;79,46
20,188;-43,50;-5,75;-66,25;79,46
20,287;-42,50;-7,50;-66,00;78,86
20,338;-41,50;-10,25;-66,50;79,05
20,389;-37,50;-20,00;-68,00;80,19
20,438;-5,75;-73,75;-103,50;127,22
20,488;47,75;104,50;-672,50;682,24
20,537;-25,25;26,00;-366,00;367,79
20,589;-40,75;-8,50;-189,25;193,77
20,688;-42,75;-12,75;-84,00;95,11
20,740;-42,75;-10,50;-72,50;84,82
20,797;-43,75;-9,00;-68,00;81,36
20,889;-43,50;-6,50;-66,25;79,52
20,939;-43,25;-5,50;-66,25;79,31
20,990;-43,50;-5,50;-66,50;79,65
21,038;-42,25;-5,00;-66,25;78,73
21,089;-42,50;-4,75;-65,75;78,43
21,140;-43,00;-5,25;-66,00;78,95
21,199;-43,00;-5,25;-66,00;78,95
21,290;-42,75;-5,50;-66,00;78,83
21,340;-43,25;-5,50;-66,25;79,31
21,400;-43,00;-5,75;-66,00;78,98
21,490;-42,00;-6,25;-65,25;77,85
21,540;-41,25;-7,00;-64,50;76,88
21,591;-39,00;-8,75;-62,50;74,19
21,641;-32,50;-15,25;-53,50;64,43
21,696;-8,50;-45,00;28,25;53,81
21,742;141,00;437,25;-267,25;531,50
21,796;133,50;223,75;-217,25;339,24
21,892;6,00;27,25;-100,00;103,82
21,942;-20,50;4,25;-81,00;83,66
21,994;-32,75;-3,00;-72,50;79,61
22,042;-39,00;-5,00;-69,25;79,63
22,093;-42,25;-6,00;-67,25;79,65
22,142;-43,00;-5,75;-67,00;79,82
22,193;-43,00;-5,75;-67,00;79,82
22,241;-43,75;-6,25;-67,00;80,26
22,293;-43,75;-6,25;-66,50;79,85
22,341;-43,50;-5,75;-66,75;79,88
22,394;-43,50;-5,50;-66,75;79,86
22,492;-44,75;-5,75;-67,50;81,19
22,541;-44,50;-5,75;-67,50;81,05
22,593;-44,00;-5,50;-66,50;79,93
22,642;-44,25;-6,00;-66,75;80,31
22,699;-43,25;-6,50;-66,75;79,80
22,747;-43,00;-6,75;-66,75;79,69
22,798;-41,75;-9,25;-67,00;79,48
22,848;-38,25;-14,00;-67,50;78,84
22,899;-23,75;-31,00;-73,50;83,23
22,947;88,50;-103,25;-198,25;240,41
22,999;-79,25;289,75;152,00;336,66
23,048;-59,50;147,75;114,50;196,16
23,098;-44,50;53,50;31,75;76,49
23,148;-40,50;14,25;-19,50;47,15
23,202;-39,75;0,00;-45,00;60,04
23,249;-40,75;-4,25;-56,50;69,79
23,299;-42,50;-6,00;-61,50;75,00
23,349;-43,00;-6,25;-64,50;77,77
23,400;-43,00;-5,75;-65,75;78,77
23,450;-43,00;-5,50;-65,50;78,55
23,499;-43,50;-6,00;-65,50;78,86
23,550;-43,25;-4,75;-66,25;79,26
23,601;-43,50;-5,00;-65,75;79,00
23,700;-44,25;-5,25;-65,50;79,22
23,750;-44,00;-5,25;-65,50;79,08
23,804;-43,50;-5,25;-65,75;79,01
23,900;-44,25;-6,25;-65,50;79,29
23,950;-43,25;-6,50;-65,00;78,34
24,007;-43,00;-7,75;-64,25;77,70
24,051;-43,00;-10,75;-62,75;76,83
24,101;-41,50;-16,50;-58,00;73,20
24,150;-41,75;-35,75;-33,25;64,24
24,202;-135,25;-25,75;161,25;212,03
24,252;115,00;-132,50;-214,75;277,31
24,303;87,50;-122,50;-187,25;240,26
24,352;29,00;-76,25;-128,50;152,21
24,403;-8,50;-43,00;-94,00;103,72
24,502;-36,00;-14,50;-71,25;81,13
24,551;-39,75;-10,00;-68,50;79,83
24,603;-42,25;-7,75;-67,00;79,59
24,651;-43,25;-7,00;-66,75;79,84
24,717;-43,25;-6,50;-66,25;79,38
24,751;-43,25;-5,75;-66,25;79,33
24,803;-43,75;-6,25;-66,50;79,85
24,852;-43,25;-6,50;-66,25;79,38
